候选ID,策略家族,来源,分数,表达式,alpha_id,status,sharpe,fitness,turnover,returns,margin,drawdown,error,处理时间
improved_round2_12,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(book_value/cap, 252)) + rank(ts_zscore(ebitda/cap, 252)) + rank(ts_zscore(fcf/cap, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:11:59.976968+00:00
improved_round2_13,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(revenue/total_assets, 252)) + rank(ts_zscore(ebitda/total_assets, 252)), subindustry)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:12:03.093575+00:00
improved_round2_14,基本面多因子组合,,,"group_neutralize(ts_zscore(ts_decay_linear(fcf/cap, 252), 252), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:12:06.801807+00:00
improved_round2_15,基本面多因子组合,,,"group_neutralize(rank(ts_zscore(ebitda/cap, 252)) + rank(ts_zscore(fcf/cap, 252)) + rank(ts_zscore(book_value/cap, 252)) - rank(ts_zscore(debt/cap, 252)), sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:12:09.600539+00:00
v50_round3_1,near_pass_variant,,,"(group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:17:43.591522+00:00
v50_round3_2,near_pass_variant,,,"trade_when(rank(ts_mean(volume,63)/adv20),((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3),-1)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:17:47.456208+00:00
v50_round3_3,near_pass_variant,,,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:17:50.293965+00:00
v50_round3_4,near_pass_variant,,,"((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 63)/adv20)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:17:53.097572+00:00
v50_round3_5,near_pass_variant,,,"(group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:17:55.894003+00:00
v50_round3_6,near_pass_variant,,,"trade_when(rank(ts_mean(volume,63)/adv20),((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3),-1)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:17:58.688024+00:00
v50_round3_7,near_pass_variant,,,"trade_when(rank(ts_mean(volume,63)/adv20),((group_rank(ts_delta(assets,252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3),-1)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:18:01.487828+00:00
v50_round3_8,arch_delta_liquid,,,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fy1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:18:04.590395+00:00
v50_round3_9,arch_delta_liquid,,,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fy2,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:18:07.395119+00:00
v50_round3_10,arch_delta_liquid,,,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fy1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:18:10.199199+00:00
v50_round3_11,arch_delta_liquid,,,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fy2,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:18:13.001652+00:00
v50_round3_12,arch_delta_liquid,,,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fq1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:18:15.805172+00:00
v50_round3_13,arch_delta_liquid,,,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fq2,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:18:18.607548+00:00
v50_round3_14,arch_hybrid_lowvol,,,"group_neutralize(ts_zscore(anl14_numofests_ebitda_fy5/cap,126)*-rank(ts_std_dev(returns,126)),market)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:18:21.443143+00:00
v50_round3_15,arch_hybrid_lowvol,,,"group_neutralize(ts_zscore(anl14_numofests_ebitda_fy4/cap,126)*-rank(ts_std_dev(returns,126)),market)",,ERROR,,,,,,,simulation submit failed with HTTP 400,2026-08-02T13:18:24.882291+00:00
