alpha_id,sync_id,eligibility_status,reasons,source
0mAVeKKp,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAVmG6r,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAY5kXk,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAY6VaG,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAYLbr2,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAYNG9q,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAYNW1p,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAYNkG1,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAZo2P2,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAZqO38,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAZwQYp,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAaEMXv,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAaLpN6,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAak21G,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAanJ1v,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAgNv86,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAgepGq,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mAxe2m2,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mEm5xW2,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mEm6pe2,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mEmL0Z1,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mEmgLR1,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mM01WlG,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mM089R6,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mM0V8o2,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mM0V9xp,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mM0XRGK,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mM0v5Yq,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mM3VkZq,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mM3dNZ8,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mM9EVA1,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMW90x2,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMWlEor,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMWv252,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMlPZxG,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mMlg2Ov,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
