2026-05-16T14:14:06Z [supervisor] start max_restarts=200 loop_args=['--batch-size', '120', '--inter-cycle-sleep', '120', '--resilient-async', '--no-prebatch-recheck']
2026-05-16T15:32:35Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:33:21Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:34:07Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:34:53Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:35:38Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:36:24Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:37:10Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:37:55Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:38:41Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:39:27Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:40:12Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:40:58Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:41:44Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:42:30Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:43:15Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:44:01Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:44:47Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:45:32Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:46:18Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:47:04Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:47:50Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:48:35Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:49:21Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:50:07Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:50:52Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:51:38Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:52:24Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:53:10Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:53:55Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:54:41Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:55:27Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:56:12Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:56:58Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:57:44Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:58:30Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T15:59:15Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:00:01Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:00:47Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:01:32Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:02:18Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:03:04Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:03:50Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:04:35Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:05:21Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:06:07Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:06:52Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:07:38Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
2026-05-16T16:08:24Z [supervisor] waiting for existing pipeline PIDs=[37100, 43652]
